"","Industria","IPCA","Ibovespa","Juros","Commodities"
"137",105,0.37,-4.3,0.58,127.26
"138",101.7,0.26,-11.31,0.59,134.06
"139",108,0.03,1.64,0.71,137.1
"140",112,0.24,3.68,0.7,142.27
"141",107.3,0.35,4.65,0.7,138.26
"142",112.6,0.57,3.66,0.8,134.56
"143",106.1,0.54,-3.27,0.71,138.24
"144",90.1,0.92,-1.86,0.78,141.69
"145",92.6,0.55,-7.51,0.84,143.73
"146",92.3,0.69,-1.14,0.78,149.87
"147",97.3,0.92,7.05,0.76,151.9
"148",96,0.67,2.4,0.82,148.06
"149",101.7,0.46,-0.75,0.86,145.16
"150",94.9,0.4,3.76,0.82,142.97
"151",104.4,0.01,5,0.94,140.32
"152",106.3,0.25,9.78,0.86,138.44
"153",105.6,0.57,-11.7,0.9,139.83
"154",109.3,0.42,0.95,0.94,146.85
"155",99.8,0.51,0.18,0.84,151.32
"156",87.7,0.78,-8.62,0.96,149.44
"157",88.1,1.24,-6.2,0.93,141.76
"158",83.7,1.22,9.97,0.82,148.81
"159",94.3,1.32,-0.84,1.04,160.54
"160",88.8,0.71,9.93,0.95,157.11
"161",93.1,0.74,-6.17,0.98,158.3
"162",92.5,0.79,0.61,1.07,158.28
"163",95.5,0.62,-4.17,1.18,162.67
"164",97.6,0.22,-8.33,1.11,169.87
"165",94.3,0.54,-3.36,1.11,186.75
"166",97.2,0.82,1.8,1.11,189.34
"167",87.6,1.01,-1.63,1.06,179.18
"168",77.2,0.96,-3.93,1.16,181.47
"169",76.2,1.27,-6.79,1.05,186.87
"170",75.8,0.9,5.91,1,184.11
"171",83.7,0.43,16.97,1.16,176
"172",83,0.61,7.7,1.05,170.56
"173",86.3,0.78,-10.09,1.11,173.06
"174",87.7,0.35,6.3,1.16,173.09
"175",89.6,0.52,11.22,1.11,163.2
"176",93,0.44,1.03,1.21,158.96
"177",90.6,0.08,0.8,1.11,161.88
"178",90.2,0.26,11.23,1.05,162.04
"179",86.6,0.18,-4.65,1.04,172.03
"180",77.2,0.3,-2.71,1.12,171.83
"181",77.6,0.38,7.38,1.08,169.88
"182",75.5,0.33,3.08,0.86,165.86
"183",85.3,0.25,-2.52,1.05,162.01
"184",79.5,0.14,0.64,0.79,160.31
"185",90.1,0.31,-4.12,0.93,165.03
"186",88.4,-0.23,0.3,0.81,164.98
"187",92.3,0.24,4.8,0.8,163.96
"188",96.7,0.19,7.46,0.8,160.25
